date,fajr_adhan,fajr_iqamah,dhuhr_adhan,dhuhr_iqamah,asr_adhan,asr_iqamah,maghrib_adhan,maghrib_iqamah,isha_adhan,isha_iqamah
2026-09-13,05:00,05:30,13:08,13:30,16:48,17:15,19:30,19:35,21:00,21:15
2026-09-14,05:02,05:30,13:08,13:30,16:46,17:15,19:28,19:33,20:58,21:15
2026-09-15,05:04,05:30,13:07,13:30,16:44,17:15,19:25,19:30,20:55,21:15
2026-09-16,05:06,05:30,13:07,13:30,16:42,17:15,19:23,19:28,20:53,21:15
2026-09-17,05:08,05:30,13:07,13:30,16:40,17:15,19:21,19:26,20:51,21:15
2026-09-18,05:10,05:30,13:06,13:30,16:38,17:15,19:18,19:23,20:48,21:15
2026-09-19,05:12,05:30,13:06,13:30,16:36,17:15,19:16,19:21,20:46,21:15
2026-09-20,05:14,05:45,13:06,13:30,16:34,17:15,19:14,19:19,20:44,21:15
2026-09-21,05:16,05:45,13:05,13:30,16:32,17:15,19:11,19:16,20:41,21:15
2026-09-22,05:18,05:45,13:05,13:30,16:30,17:15,19:09,19:14,20:39,21:15
2026-09-23,05:20,05:45,13:05,13:30,16:28,17:15,19:07,19:12,20:37,21:15
2026-09-24,05:22,05:45,13:04,13:30,16:26,17:15,19:04,19:09,20:34,21:15
2026-09-25,05:24,05:45,13:04,13:30,16:24,17:15,19:02,19:07,20:32,21:15
2026-09-26,05:26,05:45,13:04,13:30,16:22,17:15,19:00,19:05,20:30,21:15
2026-09-27,05:28,05:45,13:03,13:30,16:20,17:15,18:57,19:02,20:27,21:15
2026-09-28,05:30,06:00,13:03,13:30,16:18,17:15,18:55,19:00,20:25,21:15
2026-09-29,05:32,06:00,13:03,13:30,16:16,17:15,18:53,18:58,20:23,21:15
2026-09-30,05:34,06:00,13:02,13:30,16:14,17:15,18:50,18:55,20:20,21:15
2026-10-01,05:36,06:00,13:02,13:30,16:12,17:15,18:48,18:53,20:18,21:15
2026-10-02,05:38,06:00,13:02,13:30,16:10,17:15,18:46,18:51,20:16,21:15
2026-10-03,05:40,06:00,13:01,13:30,16:08,17:15,18:43,18:48,20:13,21:15
2026-10-04,05:42,06:00,13:01,13:30,16:06,17:15,18:41,18:46,20:11,21:15
2026-10-05,05:44,06:15,13:01,13:30,16:04,17:15,18:39,18:44,20:09,21:15
2026-10-06,05:46,06:15,13:00,13:30,16:02,17:15,18:36,18:41,20:06,21:15
2026-10-07,05:48,06:15,13:00,13:30,16:00,17:15,18:34,18:39,20:04,21:15
2026-10-08,05:50,06:15,13:00,13:30,15:58,17:15,18:32,18:37,20:02,21:15
2026-10-09,05:52,06:15,12:59,13:30,15:56,17:15,18:29,18:34,19:59,21:15
2026-10-10,05:54,06:15,12:59,13:30,15:54,17:15,18:27,18:32,19:57,21:15
2026-10-11,05:56,06:15,12:59,13:30,15:52,17:15,18:25,18:30,19:55,21:15
2026-10-12,05:58,06:30,12:58,13:30,15:50,17:15,18:22,18:27,19:52,21:15
2026-10-13,06:00,06:30,12:58,13:30,15:48,17:15,18:20,18:25,19:50,21:15
2026-10-14,06:02,06:30,12:58,13:30,15:46,17:15,18:18,18:23,19:48,21:15
2026-10-15,06:04,06:30,12:57,13:30,15:44,17:15,18:15,18:20,19:45,21:15

